"gene_id","gene_name","Lmx1a_E1_R1","Lmx1a_E1_R2","Lmx1a_E1_R3","Lmx1a_E1_R4","Sox3U3_R1","Sox3U3_R2","Sox3U3_R3","Sox3U3_R4"
"ENSGALG00000037727","OSGEPL1",231,212,771,656,1636,524,303,365
"ENSGALG00000041666","ASNSD1",437,402,1494,1384,3060,1353,666,725
"ENSGALG00000051454","ENSGALG00000051454",0,1,6,0,4,1,0,0
"ENSGALG00000043618","SLC40A1",264,216,883,868,1197,487,193,164
"ENSGALG00000053324","ENSGALG00000053324",13,7,60,15,100,48,31,30
"ENSGALG00000042197","WDR75",1364,1251,4357,5336,8589,4126,1751,1712
"ENSGALG00000048532","ENSGALG00000048532",8,10,32,20,34,23,21,23
"ENSGALG00000031112","COL5A2",1212,1130,4448,5371,8133,4185,1667,1646
"ENSGALG00000035584","COL3A1",407,409,1761,1319,3110,2888,215,493
"ENSGALG00000051019","ENSGALG00000051019",0,0,0,0,0,0,0,0
"ENSGALG00000054944","GULP1",171,129,420,465,827,401,162,172
"ENSGALG00000048389","ENSGALG00000048389",15,8,42,16,53,25,12,23
"ENSGALG00000002594","TFPI",426,361,994,1297,2026,880,622,470
"ENSGALG00000002632","CALCRL",131,165,398,450,1222,575,197,222
"ENSGALG00000025182","gga-mir-1812",1,0,10,3,14,7,0,2
"ENSGALG00000002646","FAM171B",243,161,682,428,913,318,174,104
"ENSGALG00000002655","ITGAV",512,384,1573,1583,2778,983,536,531
"ENSGALG00000025510","gga-mir-1559",1,0,3,0,11,0,1,0
"ENSGALG00000041857","ZC3H15",1366,1201,4435,3739,6498,2698,1469,946
"ENSGALG00000048777","ENSGALG00000048777",0,2,1,0,10,1,2,0
"ENSGALG00000049933","ENSGALG00000049933",12,12,23,16,113,25,31,24
"ENSGALG00000048411","ENSGALG00000048411",0,0,3,4,30,4,4,12
"ENSGALG00000052136","ENSGALG00000052136",16,24,42,19,100,53,19,23
"ENSGALG00000053975","ENSGALG00000053975",9,10,39,22,71,29,7,34
"ENSGALG00000051162","ENSGALG00000051162",5,2,20,18,47,19,7,13
"ENSGALG00000023886","ZNF804A",41,37,92,169,358,171,70,85
"ENSGALG00000049678","ENSGALG00000049678",1,1,5,7,2,3,2,7
"ENSGALG00000054211","ENSGALG00000054211",9,6,5,5,27,13,2,10
"ENSGALG00000002689","NUP35",624,500,1871,2017,3274,1404,775,586
